Computerkey,PrincipalNm,,InstanceNm,AgentNm,EditionNm,VersionNm,ServicePackVersionDesc,DatabaseNm,OwnerNm,RecoveryModelDesc
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,AdventureWorksLT,odd\naomi.godoy,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,ContosoRetailDW,odd\naomi.godoy,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,PerformancePoint Service Application_74ae594f08404fca84c12d1a142f214e,odd\naomi.godoy,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,ReportServer_MSRSINT,odd\naomi.godoy,FULL
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,ReportServerTempDB,odd\naomi.godoy,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,Search_Service_Application_DB_20e845d0fa7849b2a8e5ba6ed30d082d,odd\naomi.godoy,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,Secure_Store_Service_DB_f3744a60-9855-423e-a363-9a8321b36b11,odd\naomi.godoy,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,StateService_8087326c4562404786866af817db3056,odd\naomi.godoy,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,tempdb,sa,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,WSS_Content_30f5bf6e700048069f1f4fbdd73e91c1,odd\naomi.godoy,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,2758_ReporServi_RSExecutionLog,odd\naomi.godoy,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,AdventureWorksLT2008R2,odd\naomi.godoy,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,Bdc_Service_DB_254d7854d9b648e6ac36023706e35b12,odd\naomi.godoy,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,PowerPivotServiceApplication1_b51bab1f113d4d1eb657d50cb472fd22,odd\naomi.godoy,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,ReportServer,odd\naomi.godoy,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,Search_Service_Application_CrawlStoreDB_2a0d288a01134795a8d92c106b3004bc,odd\naomi.godoy,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,Search_Service_Application_PropertyStoreDB_f870bf1e850040caab1ad008311d5b14,odd\naomi.godoy,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,SSIS_Config_DB,odd\naomi.godoy,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,User Profile Service Application_ProfileDB_bd4276c759e44cebb8d9620217893197,odd\naomi.godoy,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,WebAnalyticsServiceApplication_StagingDB_fc7a8fdc-1893-4b84-ae4a-810f66eeece0,odd\naomi.godoy,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,WordAutomationServices_de8b8f07473d49f6b3660783ac9dfe10,odd\naomi.godoy,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,Application_Registry_Service_DB_b77b0aa83d9a42c784df3100f158961a,odd\naomi.godoy,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,Managed Metadata Service_83b9a8f8abae43709d7261b4ebd20f59,odd\naomi.godoy,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,master,sa,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,model,sa,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,msdb,sa,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,ReportServer_RSSPSHARED,odd\naomi.godoy,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,ReportServer_RSSPSHAREDTempDB,odd\naomi.godoy,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,SharePoint_AdminContent_5a2c100f-8e84-4e7f-bce2-672fb009e527,odd\naomi.godoy,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,SharePoint_Config,odd\naomi.godoy,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,SSIS_Audit_db,odd\naomi.godoy,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,User Profile Service Application_SocialDB_960a049fb631405a889efdac37466073,odd\naomi.godoy,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,User Profile Service Application_SyncDB_a200345426764a10b4079c70d62f0a2e,odd\naomi.godoy,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,WSS_Content,odd\naomi.godoy,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,WSS_Logging,odd\naomi.godoy,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,AdventureWorks,odd\naomi.godoy,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,AdventureWorksDW,odd\naomi.godoy,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,AdventureWorksDW2008R2,odd\naomi.godoy,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,ReportServer_MSRSINTTempDB,odd\naomi.godoy,SIMPLE
135,STRDS5101.odd.svc.company.com,STRDS5101\\MSRSNTTA_STG,MSRSNTTA_STG,SQLAgent$MSRSNTTA_STG,Enterprise Edition,10.52.4276.0,2,WebAnalyticsServiceApplication_ReportingDB_fc37f7c6-3d88-423b-8170-634dbc9a8b09,odd\naomi.godoy,SIMPLE
782,BG6DS1210.odd.svc.company.com,BG6DS1210\\GDN01,GDN01,SQLAgent$GDN01,Enterprise Edition,11.1.3128.0,1,2122_IndiaDelivCenteHome_myPODCustom,odd\david.e.lines,SIMPLE
782,BG6DS1210.odd.svc.company.com,BG6DS1210\\GDN01,GDN01,SQLAgent$GDN01,Enterprise Edition,11.1.3128.0,1,Quest_Performance_Repository_01,odd\PerfAgentMgmtacct,SIMPLE
782,BG6DS1210.odd.svc.company.com,BG6DS1210\\GDN01,GDN01,SQLAgent$GDN01,Enterprise Edition,11.1.3128.0,1,ReportServer_PU,odd\david.e.lines,SIMPLE
782,BG6DS1210.odd.svc.company.com,BG6DS1210\\GDN01,GDN01,SQLAgent$GDN01,Enterprise Edition,11.1.3128.0,1,2122_IndiaDelivCenteHome_myPODCustom_deleteme,odd\david.e.lines,SIMPLE
782,BG6DS1210.odd.svc.company.com,BG6DS1210\\GDN01,GDN01,SQLAgent$GDN01,Enterprise Edition,11.1.3128.0,1,2660_IndiaSalesEnablPorta_Custom,odd\david.e.lines,SIMPLE
782,BG6DS1210.odd.svc.company.com,BG6DS1210\\GDN01,GDN01,SQLAgent$GDN01,Enterprise Edition,11.1.3128.0,1,master,sa,SIMPLE
782,BG6DS1210.odd.svc.company.com,BG6DS1210\\GDN01,GDN01,SQLAgent$GDN01,Enterprise Edition,11.1.3128.0,1,Quest_Perf_Repository,odd\PerfAgentMgmtacct,SIMPLE
782,BG6DS1210.odd.svc.company.com,BG6DS1210\\GDN01,GDN01,SQLAgent$GDN01,Enterprise Edition,11.1.3128.0,1,Quest_Performance_Repository_02,odd\PerfAgentMgmtacct,SIMPLE
782,BG6DS1210.odd.svc.company.com,BG6DS1210\\GDN01,GDN01,SQLAgent$GDN01,Enterprise Edition,11.1.3128.0,1,Quest_Performance_Repository01,odd\PerfAgentMgmtacct,SIMPLE
782,BG6DS1210.odd.svc.company.com,BG6DS1210\\GDN01,GDN01,SQLAgent$GDN01,Enterprise Edition,11.1.3128.0,1,ReportServer_PUTempDB,odd\david.e.lines,SIMPLE
782,BG6DS1210.odd.svc.company.com,BG6DS1210\\GDN01,GDN01,SQLAgent$GDN01,Enterprise Edition,11.1.3128.0,1,tempdb,sa,SIMPLE
782,BG6DS1210.odd.svc.company.com,BG6DS1210\\GDN01,GDN01,SQLAgent$GDN01,Enterprise Edition,11.1.3128.0,1,2122_IndiaDelivCenteHome_Custom,odd\david.e.lines,SIMPLE
782,BG6DS1210.odd.svc.company.com,BG6DS1210\\GDN01,GDN01,SQLAgent$GDN01,Enterprise Edition,11.1.3128.0,1,2716_DataArchCapacity,odd\david.e.lines,SIMPLE
782,BG6DS1210.odd.svc.company.com,BG6DS1210\\GDN01,GDN01,SQLAgent$GDN01,Enterprise Edition,11.1.3128.0,1,2916_DataArchCapacity,odd\david.e.lines,SIMPLE
782,BG6DS1210.odd.svc.company.com,BG6DS1210\\GDN01,GDN01,SQLAgent$GDN01,Enterprise Edition,11.1.3128.0,1,model,sa,FULL
782,BG6DS1210.odd.svc.company.com,BG6DS1210\\GDN01,GDN01,SQLAgent$GDN01,Enterprise Edition,11.1.3128.0,1,msdb,sa,SIMPLE
782,BG6DS1210.odd.svc.company.com,BG6DS1210\\GDN01,GDN01,SQLAgent$GDN01,Enterprise Edition,11.1.3128.0,1,Quest_Performance_Repository,odd\PerfAgentMgmtacct,SIMPLE
782,BG6DS1210.odd.svc.company.com,BG6DS1210\\GDN01,GDN01,SQLAgent$GDN01,Enterprise Edition,11.1.3128.0,1,2122_IndiaDelivCenteHome_Custom_Deleteme,odd\david.e.lines,SIMPLE
782,BG6DS1210.odd.svc.company.com,BG6DS1210\\GDN01,GDN01,SQLAgent$GDN01,Enterprise Edition,11.1.3128.0,1,2122_InternalJobPosting,odd\david.e.lines,SIMPLE
782,BG6DS1210.odd.svc.company.com,BG6DS1210\\GDN01,GDN01,SQLAgent$GDN01,Enterprise Edition,11.1.3128.0,1,2758_ReporServi_RSExecutionLog,odd\david.e.lines,SIMPLE
782,BG6DS1210.odd.svc.company.com,BG6DS1210\\GDN01,GDN01,SQLAgent$GDN01,Enterprise Edition,11.1.3128.0,1,DBA_Audit,odd\david.e.lines,SIMPLE
782,BG6DS1210.odd.svc.company.com,BG6DS1210\\GDN01,GDN01,SQLAgent$GDN01,Enterprise Edition,11.1.3128.0,1,SSIS_Audit_DB,odd\david.e.lines,SIMPLE
782,BG6DS1210.odd.svc.company.com,BG6DS1210\\GDN01,GDN01,SQLAgent$GDN01,Enterprise Edition,11.1.3128.0,1,SSIS_Config_DB,odd\david.e.lines,SIMPLE
1858,STRDS5102.odd.svc.company.com,STRDS5102\\MSSQLSERVER,MSSQLSERVER,SQLSERVERAGENT,Enterprise Edition,11.1.3128.0,1,msdb,sa,SIMPLE
1858,STRDS5102.odd.svc.company.com,STRDS5102\\MSSQLSERVER,MSSQLSERVER,SQLSERVERAGENT,Enterprise Edition,11.1.3128.0,1,ReportServer,odd\jose.luis.guilmore,SIMPLE
1858,STRDS5102.odd.svc.company.com,STRDS5102\\MSSQLSERVER,MSSQLSERVER,SQLSERVERAGENT,Enterprise Edition,11.1.3128.0,1,tempdb,sa,SIMPLE
1858,STRDS5102.odd.svc.company.com,STRDS5102\\STRDS5102_2005,STRDS5102_2005,SQLAgent$STRDS5102_2005,Enterprise Edition,11.1.3128.0,1,master,sa,SIMPLE
1858,STRDS5102.odd.svc.company.com,STRDS5102\\STRDS5102_2005,STRDS5102_2005,SQLAgent$STRDS5102_2005,Enterprise Edition,11.1.3128.0,1,msdb,sa,SIMPLE
1858,STRDS5102.odd.svc.company.com,STRDS5102\\STRDS5102_2005,STRDS5102_2005,SQLAgent$STRDS5102_2005,Enterprise Edition,11.1.3128.0,1,SSIS_Config_DB,odd\jose.luis.guilmore,SIMPLE
1858,STRDS5102.odd.svc.company.com,STRDS5102\\MSSQLSERVER,MSSQLSERVER,SQLSERVERAGENT,Enterprise Edition,11.1.3128.0,1,ReportServerTempDB,odd\jose.luis.guilmore,SIMPLE
1858,STRDS5102.odd.svc.company.com,STRDS5102\\MSSQLSERVER,MSSQLSERVER,SQLSERVERAGENT,Enterprise Edition,11.1.3128.0,1,master,sa,SIMPLE
1858,STRDS5102.odd.svc.company.com,STRDS5102\\MSSQLSERVER,MSSQLSERVER,SQLSERVERAGENT,Enterprise Edition,11.1.3128.0,1,model,sa,FULL
1858,STRDS5102.odd.svc.company.com,STRDS5102\\STRDS5102_2005,STRDS5102_2005,SQLAgent$STRDS5102_2005,Enterprise Edition,11.1.3128.0,1,2758_ReporServi_RSExecutionLog,odd\jose.luis.guilmore,SIMPLE
1858,STRDS5102.odd.svc.company.com,STRDS5102\\STRDS5102_2005,STRDS5102_2005,SQLAgent$STRDS5102_2005,Enterprise Edition,11.1.3128.0,1,model,sa,FULL
1858,STRDS5102.odd.svc.company.com,STRDS5102\\STRDS5102_2005,STRDS5102_2005,SQLAgent$STRDS5102_2005,Enterprise Edition,11.1.3128.0,1,SSIS_Audit_DB,odd\jose.luis.guilmore,SIMPLE
1858,STRDS5102.odd.svc.company.com,STRDS5102\\STRDS5102_2005,STRDS5102_2005,SQLAgent$STRDS5102_2005,Enterprise Edition,11.1.3128.0,1,tempdb,sa,SIMPLE
2407,STRVD5202.odd.svc.company.com,STRVD5202\\MSSQLSERVER,MSSQLSERVER,SQLSERVERAGENT,Enterprise Edition,10.52.4276.0,2,Application_Registry_Service_DB_de8adc84a7bf433780ade4546629c5fd,odd\2758_Farm_NTTA_Stg,SIMPLE
2407,STRVD5202.odd.svc.company.com,STRVD5202\\MSSQLSERVER,MSSQLSERVER,SQLSERVERAGENT,Enterprise Edition,10.52.4276.0,2,Bdc_Service_DB_8bda49bfd28f4e76b74364cb336e5b70,odd\2758_Farm_NTTA_Stg,SIMPLE
2407,STRVD5202.odd.svc.company.com,STRVD5202\\MSSQLSERVER,MSSQLSERVER,SQLSERVERAGENT,Enterprise Edition,10.52.4276.0,2,Managed Metadata Service_bd41b144da2345a2b26cba76ba0b633e,odd\2758_Farm_NTTA_Stg,SIMPLE
2407,STRVD5202.odd.svc.company.com,STRVD5202\\MSSQLSERVER,MSSQLSERVER,SQLSERVERAGENT,Enterprise Edition,10.52.4276.0,2,Search_Service_Application_DB_1727ac8758b4477aa0d9772d745e0fcb,odd\2758_Farm_NTTA_Stg,SIMPLE
2407,STRVD5202.odd.svc.company.com,STRVD5202\\MSSQLSERVER,MSSQLSERVER,SQLSERVERAGENT,Enterprise Edition,10.52.4276.0,2,Search_Service_Application_PropertyStoreDB_b205a3a9c96a424fbb9a4215bdd48091,odd\2758_Farm_NTTA_Stg,SIMPLE
2407,STRVD5202.odd.svc.company.com,STRVD5202\\MSSQLSERVER,MSSQLSERVER,SQLSERVERAGENT,Enterprise Edition,10.52.4276.0,2,StateService_6d715bcc465d4471a75c5b8265bdf105,odd\2758_Farm_NTTA_Stg,SIMPLE
2407,STRVD5202.odd.svc.company.com,STRVD5202\\MSSQLSERVER,MSSQLSERVER,SQLSERVERAGENT,Enterprise Edition,10.52.4276.0,2,User Profile Service Application_ProfileDB_5c652bfa9d104aa6bb6c9e9ece9ac6db,odd\2758_Farm_NTTA_Stg,SIMPLE
2407,STRVD5202.odd.svc.company.com,STRVD5202\\MSSQLSERVER,MSSQLSERVER,SQLSERVERAGENT,Enterprise Edition,10.52.4276.0,2,User Profile Service Application_SocialDB_c6c46b47b91145e1956b08941d494534,odd\2758_Farm_NTTA_Stg,SIMPLE
2407,STRVD5202.odd.svc.company.com,STRVD5202\\MSSQLSERVER,MSSQLSERVER,SQLSERVERAGENT,Enterprise Edition,10.52.4276.0,2,PerformancePoint Service Application_fed8ecfde7df48d3bc37231f97e0ec93,odd\2758_Farm_NTTA_Stg,SIMPLE
2407,STRVD5202.odd.svc.company.com,STRVD5202\\MSSQLSERVER,MSSQLSERVER,SQLSERVERAGENT,Enterprise Edition,10.52.4276.0,2,Search_Service_Application_CrawlStoreDB_e818630bdaa7475ea57db9f0be5b5f03,odd\2758_Farm_NTTA_Stg,SIMPLE
2407,STRVD5202.odd.svc.company.com,STRVD5202\\MSSQLSERVER,MSSQLSERVER,SQLSERVERAGENT,Enterprise Edition,10.52.4276.0,2,Secure_Store_Service_DB_53aa7727ddd848b1bfaccaa2fa734b9b,odd\2758_Farm_NTTA_Stg,SIMPLE
2407,STRVD5202.odd.svc.company.com,STRVD5202\\MSSQLSERVER,MSSQLSERVER,SQLSERVERAGENT,Enterprise Edition,10.52.4276.0,2,SharePoint_Config,odd\2758_Farm_NTTA_Stg,SIMPLE
2407,STRVD5202.odd.svc.company.com,STRVD5202\\MSSQLSERVER,MSSQLSERVER,SQLSERVERAGENT,Enterprise Edition,10.52.4276.0,2,tempdb,sa,SIMPLE
2407,STRVD5202.odd.svc.company.com,STRVD5202\\MSSQLSERVER,MSSQLSERVER,SQLSERVERAGENT,Enterprise Edition,10.52.4276.0,2,User Profile Service Application_SyncDB_6b7c3898af774241b13c668ca2f9e4b9,odd\2758_Farm_NTTA_Stg,SIMPLE
2407,STRVD5202.odd.svc.company.com,STRVD5202\\MSSQLSERVER,MSSQLSERVER,SQLSERVERAGENT,Enterprise Edition,10.52.4276.0,2,WebAnalyticsServiceApplication_StagingDB_2e147044-c628-4713-b32d-b0c7c64bda9d,odd\2758_Farm_NTTA_Stg,SIMPLE
2407,STRVD5202.odd.svc.company.com,STRVD5202\\MSSQLSERVER,MSSQLSERVER,SQLSERVERAGENT,Enterprise Edition,10.52.4276.0,2,master,sa,SIMPLE
2407,STRVD5202.odd.svc.company.com,STRVD5202\\MSSQLSERVER,MSSQLSERVER,SQLSERVERAGENT,Enterprise Edition,10.52.4276.0,2,msdb,sa,SIMPLE
2407,STRVD5202.odd.svc.company.com,STRVD5202\\MSSQLSERVER,MSSQLSERVER,SQLSERVERAGENT,Enterprise Edition,10.52.4276.0,2,ReportServer,odd\jose.luis.guilmore,FULL
2407,STRVD5202.odd.svc.company.com,STRVD5202\\MSSQLSERVER,MSSQLSERVER,SQLSERVERAGENT,Enterprise Edition,10.52.4276.0,2,SharePoint_AdminContent_8ecca588-bbb1-4bad-8b32-f2b413954ab4,odd\2758_Farm_NTTA_Stg,SIMPLE
